Question	Fossil fuels were formed from	question
Answer	the remains of living things	answer
0	if a living thing dies then that living thing is dead	nongold
1	fossil fuels; fossils are formed from dead organisms over time	gold
2	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
3	remains mean parts of a dead organism	gold
4	an animal is a kind of living thing	nongold
5	life means living things	nongold
6	fossil means preserved remains of ancient organisms	nongold
7	remains is similar to dead organisms	nongold
8	to be made of something means to be formed of that something	nongold
9	to cause the formation of means to form	nongold
10	an organism is a living thing	gold
11	petroleum is a kind of fossil fuel	nongold
12	to be formed by is similar to being produced by	nongold
13	oil is a kind of fossil fuel	nongold
14	to be formed means to be originated	nongold
15	products are formed; are produced; are created	nongold
16	form means kind	nongold
17	all living and nonliving materials are made of elements	nongold
18	forming coal; fossil fuels requires decaying vegetation	nongold
19	a fossil fuel is a kind of natural resource	nongold
20	fossil fuel contains chemical energy	nongold
21	to form means to create	nongold
22	sulfur dioxide is formed by the combustion of fossil fuels	nongold
23	an animal is a kind of organism	nongold
24	preserved means from the past; from long ago	nongold
25	to make means to form	nongold
26	fossil fuels are a nonrenewable resource	nongold
27	organisms are made of carbon	nongold
28	high temperatures during fossil-fuel formation causes a higher percentage of natural gas to form	nongold
29	a living thing is a kind of object	nongold
30	natural gas is a kind of fossil fuel	nongold
31	once-living means dead	nongold
32	live means to be alive	nongold
33	forming something is a kind of change	nongold
34	natural gas is formed by heat and pressure acting on the remains of prehistoric animals	nongold
35	burning a living thing usually causes harm to that living thing	nongold
36	to be formed by is to be the result of	nongold
37	dead organisms decay	nongold
38	fossil fuels release carbon dioxide into the atmosphere	nongold
39	if a living thing requires something then that something has a positive impact on that living thing	nongold
40	organisms mean life	nongold
41	where something  comes from is a source of that something	nongold
42	a human is a kind of animal	nongold
43	if something comes from something else then that something else is a source of that something	nongold
44	a producer is a kind of living thing	nongold
45	fossil fuels are a kind of energy resource	nongold
46	killing means changing a living thing from alive to dead by harming	nongold
47	to change into means to form	nongold
48	a living thing is made of cells	nongold
49	gasoline is a kind of fuel	nongold
50	a part of a living thing is a natural structure	nongold
51	if something is made of something else then the formation of that something requires that something else	nongold
52	composed of means made of	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	being buried under soil and mud changes dead plant matter; dead animal matter into oil; natural gas through extreme heat and pressure at the bottom of the sea over a long period of time	nongold
55	plants can be fossilized	nongold
56	a plant is a kind of living thing	nongold
57	a decomposer is a kind of living thing	nongold
58	to create means to make	nongold
59	if there is none of a thing then that thing does not exist	nongold
60	nonliving; non-living; die is the opposite of living; alive; live	nongold
61	organisms are a part of an environment	nongold
62	coal is a kind of fossil fuel	nongold
63	oil is a kind of substance; matter	nongold
64	natural gas is used for cooking food by burning	nongold
65	carbon dioxide is a kind of gas	nongold
66	index fossils are formed from species that existed for a relatively short time	nongold
67	carbon is a kind of element	nongold
68	to be made of means to consist of	nongold
69	gases released during the use of fossil fuels causes global warming	nongold
70	a component means a part of	nongold
71	fossil fuels burning causes pollution	nongold
72	renewable is the opposite of nonrenewable	nongold
73	dead means not alive	nongold
74	can be means able to be	nongold
75	a fungus is a kind of living thing	nongold
76	a worm is a kind of animal	nongold
77	to produce means to create	nongold
78	a process is a kind of event	nongold
79	a worm is a kind of living thing	nongold
80	investigating the life cycle of a living thing requires that living thing to be alive	nongold
81	creating means making	nongold
82	if something is made of something else then that something can be broken down into that something else	nongold
83	a dinosaur is a kind of extinct animal	nongold
84	a component of something means a part of that something	nongold
85	nonliving means not living	nongold
86	fossil fuels have high potential energy	nongold
87	to decompose means to decay	nongold
88	to cause means to make	nongold
89	state means form	nongold
90	death means to die	nongold
91	a plant is a kind of organism	nongold
92	forming is similar to converting	nongold
93	made up of means contains; made of	nongold
94	living things eat their food source	nongold
95	substances are made of elements	nongold
96	if an object is made of something then the parts of that object are made of that something	nongold
97	an ecosystem contains nonliving things	nongold
98	An example of a fossil is the bones of an extinct animal	nongold
99	to generate means to form	nongold
