Question	A powder made up of both white specks and black specks is likely to be	question
Answer	a mixture	answer
0	a speck is a kind of solid object	gold
1	white is a kind of color	gold
2	a mixture is a kind of substance	nongold
3	a powder mix is a kind of substance	nongold
4	An example of a substance is a white, powdery surface	nongold
5	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
6	made up of means contains; made of	nongold
7	black is a kind of color	gold
8	an mixture is formed by two or more substances combined together physically	nongold
9	a solution is a kind of mixture	nongold
10	white light is made of all colors of visible light combined	nongold
11	composed of means made of	nongold
12	to be made of something means to be formed of that something	nongold
13	if an object is black then that object absorbs all visible light; heat	nongold
14	black is dark in color	nongold
15	color is a property of  an object; a material	nongold
16	material means substance	nongold
17	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
18	objects are made of materials; substances; matter	nongold
19	often is similar to likely	nongold
20	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
21	a liquid is a kind of substance	nongold
22	a mixture usually is made of objects with different physical properties	gold
23	substances have chemical properties	nongold
24	to be made of means to consist of	nongold
25	can be means able to be	nongold
26	to be formed by is similar to being produced by	nongold
27	to give is similar to to cause	nongold
28	combining; mixing two substances chemically causes chemical reactions	nongold
29	if something is made of something; a material then that something contains that something; that material	nongold
30	sample is similar to small amount of substance; matter	nongold
31	made of is similar to contains	nongold
32	matter; materials; substances are made of atoms; particles	nongold
33	provide is similar to give; make	nongold
34	if an object is made of a material then that object has the properties of that material	nongold
35	the air is a kind of mixture	nongold
36	gray is a combination of black and white	nongold
37	dust is a kind of material	nongold
38	to cause means to make	nongold
39	water is a kind of substance	nongold
40	composition means the (materials, substances) of which something is composed	nongold
41	substances are made of matter	nongold
42	chemical reactions cause new substances; different substances to form	nongold
43	a solution is made of one substance dissolved in another substance	nongold
44	form means kind	nongold
45	answering questions requires information	nongold
46	a solution is formed by one substance being dissolved in another substance	nongold
47	a  solution  is a kind of object	nongold
48	gas is a kind of substance	nongold
49	a type is synonymous with a kind	nongold
50	materials are made of matter	nongold
51	An example of a mixture is sand; clay; soil mixed together	nongold
52	snow is white in color	nongold
53	gas is a kind of material	nongold
54	to add means to increase	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	make means produce	nongold
57	food is a kind of substance	nongold
58	oil is a kind of substance; matter	nongold
59	chemicals means substances	nongold
60	both means two	nongold
61	vapor is synonymous with gas	nongold
62	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
63	affected means changed	nongold
64	to disperse means to separate	nongold
65	water is a kind of matter	nongold
66	the chemistry of something is similar to what that something is made of	nongold
67	a surface is a part of a material	nongold
68	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
69	water is a kind of liquid at room temperature	nongold
70	high is similar to increase	nongold
71	a solvent is a part of a solution	nongold
72	if an object is white then that object reflects all visible light	nongold
73	composition is a property of an object; matter	nongold
74	to slow; to slow down decreases speed	nongold
75	all elements are a kind of pure substance	nongold
76	a container contains objects; material; substances	nongold
77	a mixture of solids can be easily separated	nongold
78	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
79	chemical reactions cause chemical change	nongold
80	if something is made of something else then that something can be broken down into that something else	nongold
81	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
82	particles in objects are a kind of matter	nongold
83	mixture means solids combined together that maintain their physical properties	nongold
84	ethanol is a kind of substance	nongold
85	solution is a kind of liquid	nongold
86	a surface is a part of an object	nongold
87	temperature is a measure of heat energy	nongold
88	to be a combination of means to be made of	nongold
89	combustion means fire converts chemical energy into light energy and heat energy	nongold
90	water is a kind of object	nongold
91	counter means reduce; stop; resist	nongold
92	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
93	to be filled with means to contain	nongold
94	sand  is a kind of mixture	nongold
95	high-quality means positive	nongold
96	coal is black in color	nongold
97	substances are made of elements	nongold
98	flour is a kind of substance	nongold
99	white fur is white in color	nongold
