Question	Which is NOT a fossil fuel?	question
Answer	Wood	answer
0	wood is a renewable resource	gold
1	a fossil fuel is a kind of natural resource	nongold
2	a tree contains wood	nongold
3	fossil fuels are a nonrenewable resource	gold
4	natural gas is a kind of fossil fuel	nongold
5	wood is a kind of natural material	nongold
6	natural gas is a nonrenewable resource	nongold
7	wood is a kind of object	nongold
8	oil is a kind of fossil fuel	nongold
9	wood is a kind of biomass	nongold
10	a tree is a kind of plant	nongold
11	fossil fuel contains chemical energy	nongold
12	alternative fuel is usually a renewable resource	nongold
13	oil is a nonrenewable resource	nongold
14	renewable is the opposite of nonrenewable	gold
15	natural gas is a source of heat by burning	nongold
16	wood is a kind of resource	nongold
17	burning wood is used to produce heat	nongold
18	coal is a kind of fossil fuel	nongold
19	a tree is a kind of living thing	nongold
20	a renewable resource is a kind of natural resource	nongold
21	wood burns	nongold
22	coal is a kind of fuel	nongold
23	wood is a kind of nonmetal	nongold
24	trees are a renewable resource	nongold
25	petroleum is a kind of fossil fuel	nongold
26	a renewable resource is a kind of naturally replaced resource	nongold
27	fossil fuels are a kind of energy resource	nongold
28	wood is a kind of energy resource	nongold
29	dry wood easily burns	nongold
30	to be formed by is similar to being produced by	nongold
31	trees are a kind of natural resource	nongold
32	fossil fuels; fossils are formed from dead organisms over time	nongold
33	coal is a nonrenewable resource	nongold
34	fossil fuels have high potential energy	nongold
35	wood is a thermal; thermal energy insulator	nongold
36	wood is an thermal; thermal energy insulator	nongold
37	biofuel is a kind of fuel	nongold
38	a source of something emits; produces; generates; provides that something	nongold
39	natural gas is used for generating heat by burning in a furnace; in a stove	nongold
40	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	a producer is a kind of living thing	nongold
43	combustion means fire converts chemical energy into light energy and heat energy	nongold
44	fire causes burning	nongold
45	an inexhaustible resource is a kind of renewable resource	nongold
46	a tree is a kind of matter	nongold
47	wood is a strong material	nongold
48	trees are a kind of resource	nongold
49	a plant is a kind of organism	nongold
50	a firewood is a kind of object	nongold
51	using the fuel requires burning the fuel	nongold
52	to combust means to catch fire	nongold
53	a plant is a kind of living thing	nongold
54	powering is similar to fueling	nongold
55	combustion is a kind of chemical change	nongold
56	make means produce	nongold
57	An example of creating an alternative fuel is turning plant material into fuel	nongold
58	to be used for something means to be required by that something	nongold
59	coal is used for generating heat by burning	nongold
60	An example of conservation is not using fossil fuel	nongold
61	heat means heat energy	nongold
62	an object; material; substance comes from that object or material's source	nongold
63	gasoline is a kind of fuel	nongold
64	fossil fuels burning causes pollution	nongold
65	fuel contains chemical energy	nongold
66	if something is powered by something else then that something requires a source of that something else	nongold
67	temperature is a measure of heat energy	nongold
68	all elements are a kind of pure substance	nongold
69	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
70	wood is a light material	nongold
71	to cause means to make	nongold
72	a fuel is used to make energy	nongold
73	wood is usually sturdy	nongold
74	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
75	if something is a raw material in a process then that something is required for that process	nongold
76	to create means to make	nongold
77	wood has a smooth surface	nongold
78	fuel is a source of energy	nongold
79	combustibility means the ability of combustion	nongold
80	to provide something means to be the source of that something	nongold
81	if something is a raw material then that something comes directly from a source	nongold
82	to give is similar to to cause	nongold
83	substances are made of elements	nongold
84	a type is synonymous with a kind	nongold
85	plants can be fossilized	nongold
86	forming coal; fossil fuels requires decaying vegetation	nongold
87	solar energy is a renewable; inexhaustible resource	nongold
88	biogas means biofuel	nongold
89	emit means produce	nongold
90	if something causes a process then that something is required for that process	nongold
91	answering questions requires information	nongold
92	provide is similar to give; make	nongold
93	fire causes harm to trees; to forests; to living things	nongold
94	can be means able to be	nongold
95	green plants are a kind of producer	nongold
96	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
97	using coal requires burning coal	nongold
98	logging is when humans cut down trees; forests for wood	nongold
99	being buried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time	nongold
