Question	Which organ in a frog has a function similar to the function of lungs in a bird?	question
Answer	skin	answer
0	a lung is a kind of organ for breathing air	nongold
1	a frog is a kind of animal	nongold
2	the lungs are a part of the respiratory system	nongold
3	skin is a kind of organ	gold
4	breathing is a kind of  function	gold
5	the lungs are a part of the body of an animal used for breathing air	nongold
6	a frog is a kind of amphibian	nongold
7	a frog is a kind of aquatic animal	nongold
8	skin is a part of a frog for breathing; protection; absorbing moisture	nongold
9	the respiratory system is a kind of human; organ; body system	nongold
10	skin is used for breathing air by frogs	gold
11	role means function	nongold
12	a frog is an adult form of a frog	nongold
13	a bird is a kind of living thing	nongold
14	skin is a part of an animal; plant	nongold
15	lungs are used for breathing air by land animals; birds	gold
16	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
17	a bird is a kind of animal	nongold
18	the bladder is a part of the body	nongold
19	a frog is the mature form of a; adult form of a tadpole	nongold
20	exhaling  is when an animal expels air from the lungs	nongold
21	the respiratory system takes in oxygen from the air	nongold
22	breathing in is when animals inhale air into their lungs	nongold
23	causing is a kind of function	nongold
24	function is similar to purpose	nongold
25	to be a vehicle for is a kind of function	nongold
26	the respiratory system performs respiration	nongold
27	an animal is a kind of living thing	nongold
28	blood absorbs oxygen in the lungs	nongold
29	skin is the first; outermost layer around the body of some animals	nongold
30	all animals breathe	nongold
31	the function of something is what that something  is used to do	nongold
32	an organism is a living thing	nongold
33	a living thing is a kind of object	nongold
34	the diaphragm is a part of the respiratory system	nongold
35	reptiles have lungs	nongold
36	the mouth is a part of the respiratory system	nongold
37	a heart is a kind of organ	nongold
38	organ system means body system	nongold
39	when a tadpole changes into an adult frog , that tadpole grows lungs to breath air	nongold
40	the  mature form of a frog is called a frog	nongold
41	the body is a part of an organism	nongold
42	skin is a kind of material	nongold
43	to exhale means to release	nongold
44	an animal is a kind of organism	nongold
45	the absorption of oxygen through the blood occurs in the lungs	nongold
46	the stomach is a kind of organ	nongold
47	human skin is a kind of object	nongold
48	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
49	bringing oxygen to the body is a kind of function	nongold
50	a function is a kind of characteristic	nongold
51	a tadpole is a kind of young; baby frog	nongold
52	the immature form of a frog is called a tadpole	nongold
53	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
54	breathing is when animals convert oxygen into carbon dioxide	nongold
55	producing is a kind of function	nongold
56	a heart is a part of the body	nongold
57	the nervous system is a kind of body; organ system	nongold
58	a tree frog is a kind of animal	nongold
59	protecting is a kind of function	nongold
60	an amphibian is a kind of animal	nongold
61	a mammal is a kind of animal	nongold
62	converting is a kind of function	nongold
63	providing structure is a kind of function	nongold
64	the skin is the largest organ in the human body	nongold
65	internal organs are a part of the body	nongold
66	if something performs a task then that task is that something's function	nongold
67	a tadpole is the immature form of a frog	nongold
68	a frog eats insects	nongold
69	atmosphere means  air	nongold
70	the muscular system is a kind of body; organ system	nongold
71	breathing is a kind of process	nongold
72	breaking down is a kind of function	nongold
73	providing is a kind of function	nongold
74	trait is synonymous with characteristic	nongold
75	if two things perform the same function then those two things are similar	nongold
76	to breathe in means to absorb air	nongold
77	life means living things	nongold
78	air is a kind of gas	nongold
79	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
80	an animal is a member of an animal species	nongold
81	an amphibian has smooth skin	nongold
82	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
83	some birds are predators	nongold
84	an part of an object is smaller than the entire object	nongold
85	the digestive system is a kind of body; organ system	nongold
86	an animal requires air for survival	nongold
87	a function is an activity	nongold
88	the skin is a part of the integumentary system	nongold
89	an animal; bacterium requires oxygen for survival; to breathe	nongold
90	the integumentary system is a kind of body; organ system	nongold
91	a human is a kind of animal	nongold
92	a body part is a kind of object	nongold
93	a body system is a part of the body; an animal	nongold
94	an aquatic animal is a kind of animal	nongold
95	a structure of something is synonymous with a part of that something	nongold
96	the respiratory system transfers oxygen to the circulatory system	nongold
97	a tadpole changes from  a tadpole into a frog through metamorphosis	nongold
98	a liver is a kind of organ	nongold
99	skin is used for protecting the body from harmful substances	nongold
