Question	John has diabetes. Which of the following should he be careful about eating or drinking?	question
Answer	fruit juice	answer
0	a person with diabetes should be careful about eating or drinking something that is high in sugar	gold
1	sugary foods; drinks are dangerous to a person with diabetes	gold
2	fruit juice is a kind of  drink	gold
3	John is a name for a human	gold
4	fruit drink is a kind of beverage	nongold
5	fruit is a kind of food	nongold
6	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
7	glucose is a kind of substance	nongold
8	juice is a kind of liquid	nongold
9	fruit juice is usually high in sugar	gold
10	to eat means to consume food	nongold
11	a beverage is a kind of food	nongold
12	a fruit is a kind of object	nongold
13	when an animal eats or drinks something , that animal tastes that something	nongold
14	food is what an animal eats	nongold
15	a beverage is a kind of liquid	nongold
16	healthy means not having disease	nongold
17	fruit is a part of a plant; tree	nongold
18	a human is a kind of animal	nongold
19	humans drink beverages	nongold
20	an animal is a kind of organism	nongold
21	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
22	diet means what an animal eats	nongold
23	fruit is  usually a solid	nongold
24	an animal is a kind of living thing	nongold
25	food is a kind of substance	nongold
26	eating something decreases the amount of that something	nongold
27	a person should be careful about something dangerous	gold
28	a gourd is a kind of fruit	nongold
29	a food contains nutrients for living things	nongold
30	an animal needs to eat food for nutrients	nongold
31	Jonny is a name for a human	nongold
32	having food has a positive impact on an organism's health	nongold
33	poor health;bad health;unhealthy is the opposite of good health;healthy	nongold
34	eating oranges; lemons can prevent scurvy	nongold
35	a liquid is a kind of substance	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	helping something has a  positive impact on that something	nongold
38	harming something has a  negative impact on; effect on that something	nongold
39	protecting something means preventing harm to that something	nongold
40	human is a kind of organism	nongold
41	nonliving; non-living; die is the opposite of living; alive; live	nongold
42	high is similar to increase	nongold
43	juice is a kind of matter	nongold
44	to slow; to slow down decreases speed	nongold
45	person is synonymous with human	gold
46	the body is a part of an organism	nongold
47	eating certain foods is a kind of habit	nongold
48	lemon juice is a kind of substance	nongold
49	an animal requires enough nutrients to maintain good health; survive	nongold
50	taking is the opposite of giving; leaving	nongold
51	low is similar to decrease	nongold
52	disease has a negative impact on an organism	nongold
53	answering questions requires information	nongold
54	being stronger usually has a positive impact on an organism's; living thing's health	nongold
55	best means most positive	nongold
56	if a disease can be prevented by eating a certain kind of food then that disease is probably caused by a nutritional deficiency	nongold
57	an animal; living thing requires nutrients for survival	nongold
58	requiring is similar to needing help	nongold
59	to contain something means to have that something	nongold
60	to protect means to make safe	nongold
61	nutrients are a kind of substance	nongold
62	a producer is a kind of living thing	nongold
63	dying is the opposite of living; surviving	nongold
64	to lower means to decrease	nongold
65	an organism eating is a kind of action	nongold
66	an increase is the opposite of a decrease	nongold
67	an orange is a kind of fruit	nongold
68	plants are the source of fruit	nongold
69	a lemon is a kind of fruit	nongold
70	safe is the opposite of unsafe; harm; danger	nongold
71	fresh food is usually safe to eat	nongold
72	a person is a kind of animal	nongold
73	an organism is a living thing	nongold
74	greatest means largest; highest; most amount of something	nongold
75	food is a kind of object	nongold
76	lowest means least in value; amount; number	nongold
77	life means living things	nongold
78	juice is a kind of solution	nongold
79	nuts are a kind of fruit	nongold
80	affected means changed	nongold
81	an apple is a kind of fruit	nongold
82	a living thing is a kind of object	nongold
83	better means good	nongold
84	good means positive	nongold
85	a type is synonymous with a kind	nongold
86	consumption means use	nongold
87	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
88	adverse effect means negative impact	nongold
89	to add means to increase	nongold
90	little means low in amount	nongold
91	tasting bad is a kind of negative effect	nongold
92	form means kind	nongold
93	fast is the opposite of slow	nongold
94	a negative impact is a kind of consequence; risk	nongold
95	negative impact is the opposite of positive impact	nongold
96	less is similar to decrease	nongold
97	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	to give is similar to to cause	nongold
