Question	Which of these BEST describes the way a feather feels?	question
Answer	Soft	answer
0	a feather is a kind of object	nongold
1	feathers are a part of a bird	nongold
2	soft is a kind of touch sensation	gold
3	the properties of something are used for describing that something	nongold
4	a bird is a kind of animal	nongold
5	a bird is a kind of living thing	nongold
6	texture means how an object feels	nongold
7	measuring is used for describing an object	nongold
8	objects are made of materials; substances; matter	nongold
9	touch is a kind of sense	nongold
10	feeling is when an living thing senses through touch	nongold
11	touching something means feeling that something	gold
12	a surface is a part of an object	nongold
13	wings are a part of a bird	nongold
14	if the feathers of a bird are a color then that bird is that color	nongold
15	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
16	an animal is a kind of living thing	nongold
17	down feathers are a kind of material	nongold
18	a body part is a kind of object	nongold
19	An example of an adaptation for flight in birds is feathers; wings; hollow bones	nongold
20	a surface is a kind of object	nongold
21	sense is a kind of characteristic of an animal	nongold
22	a living thing is a kind of object	nongold
23	a surface is a part of a material	nongold
24	down feathers are a thermal; thermal energy insulator	nongold
25	an object has properties	nongold
26	down is a kind of small feather	gold
27	materials are made of matter	nongold
28	touching is when a body part makes contact with the surface of an object	nongold
29	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
30	to touch means to contact	nongold
31	what an object is made of is a kind of characteristic	nongold
32	being  on something; placed in something; placed over something means touching  that something	nongold
33	the location of an object can be used to describe that object	nongold
34	an object is made of its parts	nongold
35	a type is synonymous with a kind	nongold
36	the properties of something can be used to identify; used to describe that something	nongold
37	felt is high in roughness	nongold
38	soft is a kind of hardness	nongold
39	high is similar to increase	nongold
40	smooth is a kind of texture	nongold
41	rough is the opposite of smooth	nongold
42	a beak is a part of a bird	nongold
43	material means substance	nongold
44	affected means changed	nongold
45	characteristic means property	nongold
46	motion; movement means moving; to move	nongold
47	if an object is made of something then the parts of that object are made of that something	nongold
48	friction occurs when two object's surfaces move against each other	nongold
49	if an object is made of a material then that object has the properties of that material	nongold
50	matter; materials; substances are made of atoms; particles	nongold
51	rubbing against something is a kind of contact	nongold
52	color is a property of  an object; a material	nongold
53	hearing is a kind of sense	nongold
54	surface type is a kind of characteristic	nongold
55	to impact means to affect	nongold
56	the volume of an object can be used to describe  the size of that object	nongold
57	a structure of something is synonymous with a part of that something	nongold
58	strong means high in strength	nongold
59	aspect of something is similar to part of something	nongold
60	thick fur; thick feathers can be used for keeping warm	nongold
61	can be means able to be	nongold
62	to rub; to rub together means to move against	nongold
63	low is the opposite of high	nongold
64	a human is a kind of animal	nongold
65	feature is synonymous with characteristic	nongold
66	an part of an object is smaller than the entire object	nongold
67	low is similar to decrease	nongold
68	extreme means very high in value	nongold
69	trait is synonymous with characteristic	nongold
70	skin is a kind of material	nongold
71	mass; weight is a property of matter; objects; materials	nongold
72	an animal's scales are small in size	nongold
73	when two objects are touched; are contacted; move against each other , sound is produced	nongold
74	color is a kind of physical; visual property	nongold
75	definite is the opposite of variable	nongold
76	pull is similar to attract	nongold
77	an increase is the opposite of a decrease	nongold
78	the effects of something is a property of that something	nongold
79	a type of something is a kind of property of that something	nongold
80	substances are made of matter	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
83	motion is when moves an object; something to a direction	nongold
84	down is soft	gold
85	the head is a part of an animal	nongold
86	an organism is a living thing	nongold
87	weight is a property of objects; matter	nongold
88	a covering is a kind of object	nongold
89	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
90	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
91	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
92	a structure is a kind of feature	nongold
93	classifying means grouping objects; materials by their properties	nongold
94	small is the opposite of large	nongold
95	friction causes the temperature of an object to increase	nongold
96	variable means able to change	nongold
97	rubbing  is a kind of motion	nongold
98	to lower means to decrease	nongold
99	person is synonymous with human	nongold
