Question	Which tools are best used to determine the speed of a turtle as it walks along a path?	question
Answer	Stopwatch and meter stick	answer
0	a meter stick is a kind of tool for measuring length; measuring distance	gold
1	a meter stick is used to measure distance; height; length	gold
2	a stopwatch is a kind of tool for measuring time	gold
3	a stopwatch is used to measure time	gold
4	a turtle is a kind of animal	nongold
5	determining often requires measuring; observing	gold
6	a watch;clock;stopwatch is used for measuring time	nongold
7	a meter is a kind of unit for measuring distance; measuring length	nongold
8	a living thing is a kind of object	nongold
9	a stick is a kind of object	nongold
10	speed is a measure of how fast an object is moving	nongold
11	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	gold
12	walking is a kind of motion	gold
13	an animal is a kind of living thing	nongold
14	a turtle is a kind of reptile	nongold
15	stop means not move	nongold
16	instrument means tool	nongold
17	calculating speed requires knowing distance travelled	nongold
18	meters;centimeters;kilometers are used to describe distance; describe length	nongold
19	a tool is a kind of object	nongold
20	speed is a property of an object and includes values of slow; fast	nongold
21	motion; movement means moving; to move	gold
22	faster means an increase; higher in speed	nongold
23	a velocity is a measure of a speed in a direction	nongold
24	distance moved; distance travelled is a measure of how far an object moves	nongold
25	stop; stopped means zero; 0; no speed	nongold
26	rate is similar to speed	nongold
27	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
28	motion is when moves an object; something to a direction	nongold
29	a human is a kind of animal	nongold
30	fastest means greatest in  speed	nongold
31	moving is similar to travelling	gold
32	path is a kind of pathway	nongold
33	travel means to move	nongold
34	high speed means fast	nongold
35	a motion is a kind of event; action	nongold
36	seconds are used to measure time	nongold
37	a foot is a part of some animals for walking	nongold
38	as an object is moving down , the speed of the object  will increase	nongold
39	an instrument is a piece of equipment	nongold
40	an animal is a kind of organism	nongold
41	measuring requires reading a measurement	nongold
42	stopping a moving object changes kinetic energy into potential energy	nongold
43	walking is a kind of behavior	nongold
44	fast is the opposite of slow	nongold
45	travelling requires  navigation	nongold
46	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
47	slowest means lowest in  speed	nongold
48	navigation requires knowing direction	nongold
49	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
50	determining is similar to controlling	nongold
51	identifying is similar to determining	nongold
52	an animal requires energy to move	nongold
53	determining the type of an organism requires having information about that organism	nongold
54	a mammal is a kind of animal	nongold
55	determining is similar to learning	nongold
56	according to is similar to be determined by	nongold
57	measuring is used for describing an object	nongold
58	faster means increased rate	nongold
59	a vehicle is a kind of tool for travel; transport	nongold
60	seconds are a kind of unit for measuring time	nongold
61	a turtle is a kind of omnivore	nongold
62	a measure of time is a length of time	nongold
63	fast means quickly	nongold
64	movement is a kind of change	nongold
65	if an object accelerates then that object will go faster	nongold
66	to slow; to slow down decreases speed	nongold
67	running is a kind of movement	nongold
68	length is a measure of distance from one end of an object to the other end of that object	nongold
69	as kinetic energy of an object increases , that object will travel faster	nongold
70	twice the speed of is simiar to  faster	nongold
71	person is synonymous with human	nongold
72	locating means determining	nongold
73	determine is similar to cause	nongold
74	a compass is used for determining direction	nongold
75	motion is a source of kinetic energy in an object	nongold
76	turning is a kind of motion	nongold
77	measuring is a kind of observing	nongold
78	answering questions requires information	nongold
79	timing; multiplying is a kind of calculating	nongold
80	sliding is a kind of motion	nongold
81	riding something is a kind of movement	nongold
82	high is similar to increase	nongold
83	as an object moves faster , the kinetic energy of that object will increase	nongold
84	pulling is a kind of motion	nongold
85	a landform is a kind of object	nongold
86	down is a kind of direction	nongold
87	setting is a kind of motion	nongold
88	downward is a kind of direction	nongold
89	an part of an object is smaller than the entire object	nongold
90	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
91	speed up means increase	nongold
92	a sea turtle is a kind of animal	nongold
93	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
94	an aquatic animal is a kind of animal	nongold
95	an increase is a kind of change	nongold
96	a pathway is a kind of plane	nongold
97	measuring sometimes requires  recording; learning an amount	nongold
98	a force continually acting on an object in the same direction that the object is moving can cause that object's speed to increase in a forward motion	nongold
99	objects are made of materials; substances; matter	nongold
